cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD]
100,Eletrolyser1,2755295558.08913,4.01744332541428,0,17058033.264072,29701871.7292305,5660371.87474158,66698640.0000005,0,914639.853301449,[0.],[914639.85330145],794167.693294934,5495506.67450639,0,0,0,0,1330800986.55361,847376928.745694,258323169.388705,0,0,2.115,349164025.931299
100,Eletrolyser1,2365561649.19048,3.47417196096465,0,15529028.894207,27049770.9261587,4093620.55712615,66698640.0000005,0,832655.704783219,[0.],[832655.70478322],723255.907116543,3974388.89041374,0,0,0,0,1211514050.45958,771714052.893351,186821124.122673,0,0,2.115,216561785.218383
100,Eletrolyser1,2053485337.03581,3.00067934479412,0,13640635.1876934,23774299.2765892,2088878.09624115,66698640.0000005,0,731401.350546562,[0.],[731401.35054656],635676.451245702,2028036.9866419,0,0,0,0,1064188965.04525,678266773.479164,95330416.8398468,0,0,2.115,221410644.071692
100,Eletrolyser1,2019263030.5589,2.9958841039585,0,14462393.4452563,25199661.9359556,2199019.86244628,66698640.0000005,0,775463.455509723,[0.],[775463.45550972],673787.752298279,2134970.74023911,0,0,0,0,1128299327.76665,718931531.702264,100356971.76553,0,0,2.115,69510876.143712
100,Eletrolyser1,1988237534.32201,2.96309179196723,0,14512860.4066557,25287198.290654,2300836.68559483,66698640.0000005,0,778169.458801914,[0.],[778169.45880191],676128.29654155,2233822.02484935,0,0,0,0,1132236562.55678,721428892.409834,105003600.120495,0,0,2.115,30677016.9796463
100,Eletrolyser1,2051889275.43739,2.99851823057389,0,13638127.7578617,23769950.0694834,2076446.01471307,66698640.0000005,0,731266.903906794,[0.],[731266.90390679],635560.162285654,2015967.0045758,0,0,0,0,1063993345.18439,678142693.158793,94763052.2260901,0,0,2.115,218409772.116886
100,Eletrolyser1,2045586398.42748,3.00515821678751,0,13961808.9232474,24331384.0951654,2127262.25749454,66698640.0000005,0,748622.462372516,[0.],[748622.46237252],650571.767250413,2065303.16261606,0,0,0,0,1089245682.75201,694160075.65619,97082160.0837047,0,0,2.115,170729015.978639
100,Eletrolyser1,1994618987.66678,2.95807366932752,0,14339426.3990118,24986372.1582911,1941194.71759352,66698640.0000005,0,768870.048204385,[0. 0. 0. 0. 0. 0. 0.],"[     0.              0.              0.              0. 534775.67755101      0.         234094.37065337]",668084.817066608,1884655.06562478,0,0,0,0,1118705920.13738,712846499.810071,88590570.186215,0,0,2.115,74468933.0843099
 ,,,,,,,,,,,,,,,,,,,,,,,,,
