cf,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD]
80,2095776144.184074,3.275336809782179,49101353.10938393,654857079.3963932,0.0,732429.4248147073,[0.],[732429.42481471],636565.6790293144,810353.7109620981,0.0,-1.607493036820638e-11,0.0,0.0,1065684813.105399,679215579.5242785,71267328.18462397,0.0,0.0,2.115,279605142.6752798
80,1805285734.688279,2.825356985751706,44919289.25328024,654857079.3963932,-0.0,669803.051429561,[-0.],[669803.05142956],582397.3052780393,399070.155529969,0.0,0.0,0.0,-0.0,974563439.8300112,621417924.731668,35096604.554419644,0.0,0.0,2.115,174206149.9477392
80,1588896682.742221,2.486399440875427,39339593.32228629,654857079.3963932,0.0,586247.1487046402,[0.],[586247.14870464],510126.0380262429,160695.8372495358,0.0,0.0,0.0,0.0,852989601.3652515,544304482.5740012,14132548.313462637,0.0,0.0,2.115,177469399.9168712
80,1557134023.936919,2.441540344497227,41725955.28899845,654857079.3963932,0.0,621982.9004056351,[0.],[621982.90040564],541035.5007619757,217291.8159812502,0.0,-1.242983860356126e-10,0.0,0.0,904985120.0901991,577284879.313028,19109935.515668884,0.0,0.0,2.115,55753209.31814146
80,1533629351.011248,2.405928490109747,41909953.25859471,654857079.3963932,-0.0,624738.2685545998,[-0.],[624738.2685546],543418.7428954068,229436.3053314604,0.0,3.713884297864785e-13,0.0,-0.0,908994180.7469428,579827798.669399,20177994.18739203,0.0,0.0,2.115,24628448.54100451
80,1586885964.10707,2.483342888754557,39348707.16254161,654857079.3963932,0.0,586383.6283908527,[0.],[586383.62839085],510244.0854598177,160663.0391892941,0.0,0.0,0.0,0.0,853188179.3086907,544430439.1856256,14129663.856846415,0.0,0.0,2.115,175137031.3160552
80,1583432418.373617,2.479518901010448,40298087.45023912,654857079.3963932,-0.0,600600.5907394943,[-0.],[600600.59073949],522540.9771442991,170958.8162399972,0.0,0.0,0.0,-0.0,873873859.5259643,557551222.6129671,15035135.76628831,0.0,0.0,2.115,136971508.3463781
80,1533629351.011248,2.405928490109747,41909953.25859471,654857079.3963932,-0.0,624738.2685545997,[-0. -0. -0. -0. -0. -0. -0.],"[    -0.            -0.            -0.            -0.
 624738.2685546     -0.            -0.       ]",543418.7428954068,229436.3053314606,0.0,0.0,0.0,-0.0,908994180.7469426,579827798.669399,20177994.18739205,0.0,0.0,2.115,24628448.54100451
